stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R06,noisy_dropout_crossing_014,constrained,noisy_dropout_crossing,False,,,,-12.887502873030172,,37.800226750742944,0.09599999999999997,0.18442133252858828,0.0,0.736
R06,noisy_dropout_crossing_014,constrained_short,noisy_dropout_crossing,False,,,,-12.887502873030172,,37.800226750742944,0.09599999999999997,0.18442133252858828,0.0,0.736
R06,noisy_dropout_crossing_014,hypothetical,noisy_dropout_crossing,False,,,,-21.234394374112554,,37.86666363979463,0.17600000000000005,0.11562095073785163,0.0,0.636
R06,noisy_dropout_crossing_015,constrained,noisy_dropout_crossing,False,,,,-2.3304678379520922,,24.639724594129675,0.388,0.15394821902312264,0.0,0.436
R06,noisy_dropout_crossing_015,constrained_short,noisy_dropout_crossing,False,,,,-2.3304678379520922,,24.639724594129675,0.388,0.15394821902312264,0.0,0.436
R06,noisy_dropout_crossing_015,hypothetical,noisy_dropout_crossing,False,,,,2.8596354686781007,,24.379590455762585,0.42000000000000004,0.13869428411141624,0.0,0.404
R06,noisy_dropout_crossing_016,constrained,noisy_dropout_crossing,False,,,,-10.146219016968285,,25.92459532631051,0.124,0.1539849929662015,0.0,0.7
R06,noisy_dropout_crossing_016,constrained_short,noisy_dropout_crossing,False,,,,-10.146219016968285,,25.92459532631051,0.124,0.1539849929662015,0.0,0.7
R06,noisy_dropout_crossing_016,hypothetical,noisy_dropout_crossing,False,,,,-10.994692075874813,,25.504396503644852,0.16400000000000003,0.1585322982899088,0.0,0.616
R06,noisy_dropout_crossing_017,constrained,noisy_dropout_crossing,False,,,,-12.014043491175014,,28.359047152806575,0.15600000000000003,0.14963777504965625,0.0,0.672
R06,noisy_dropout_crossing_017,constrained_short,noisy_dropout_crossing,False,,,,-12.014043491175014,,28.359047152806575,0.15600000000000003,0.14963777504965625,0.0,0.672
R06,noisy_dropout_crossing_017,hypothetical,noisy_dropout_crossing,False,,,,-11.812760311778257,,27.80288119417763,0.16800000000000004,0.1672113475960279,0.0,0.588
R06,noisy_dropout_crossing_018,constrained,noisy_dropout_crossing,False,,,,3.9724114609272316,,33.891981800885986,0.368,0.1549874166082182,0.0,0.48
R06,noisy_dropout_crossing_018,constrained_short,noisy_dropout_crossing,False,,,,3.9724114609272316,,33.891981800885986,0.368,0.1549874166082182,0.0,0.48
R06,noisy_dropout_crossing_018,hypothetical,noisy_dropout_crossing,False,,,,-2.0850393865225403,,33.12751897646319,0.4,0.15894382238463411,0.0,0.44
R06,noisy_dropout_crossing_019,constrained,noisy_dropout_crossing,False,,,,-0.7279320312290185,,28.35112900216437,0.33599999999999997,0.18525204830499092,0.0,0.508
R06,noisy_dropout_crossing_019,constrained_short,noisy_dropout_crossing,False,,,,-0.7279320312290185,,28.35112900216437,0.33599999999999997,0.18525204830499092,0.0,0.508
R06,noisy_dropout_crossing_019,hypothetical,noisy_dropout_crossing,False,,,,6.542213015639956,,27.358301332382997,0.33199999999999996,0.1876782801105463,0.0,0.512
R06,overtaking_000,constrained,overtaking,False,,,,3.4222808342497757,,34.54393313802919,0.9,0.04083511024450085,0.0,0.092
R06,overtaking_000,constrained_short,overtaking,False,,,,3.4222808342497757,,34.54393313802919,0.9,0.04083511024450085,0.0,0.092
R06,overtaking_000,hypothetical,overtaking,False,,,,4.121745759826508,,34.95866601760382,0.896,0.03503023956825658,0.0,0.1
R06,overtaking_001,constrained,overtaking,False,,,,-0.23179149421457623,,31.56351309506935,0.912,0.03447531844239705,0.0,0.076
R06,overtaking_001,constrained_short,overtaking,False,,,,-0.23179149421457623,,31.56351309506935,0.912,0.03447531844239705,0.0,0.076
R06,overtaking_001,hypothetical,overtaking,True,,,,7.158247823616929,,7.162708719259801,0.3829787234042553,0.13437766133450654,0.0,0.6382978723404256
R06,overtaking_002,constrained,overtaking,False,,,,1.2023843554063571,,30.251165859086104,0.956,0.012250884582281905,0.0,0.024
