stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u2_exhaustive_b2048,crossing_004,crossing,False,,,20.000000000000004,1.0448541152996629,5.080333012514085,0.255,924.595
R08_open,u2_exhaustive_b512,crossing_004,crossing,False,,,20.000000000000004,0.3659536399962988,17.222777860622244,0.655,420.19
R08_open,u2_first_b2000000,crossing_004,crossing,False,,,20.000000000000004,1.880908825428449,3.131389578357049,0.0,378.525
R08_open,u2_first_b2048,crossing_004,crossing,False,,,20.000000000000004,1.0448541152996629,5.080333012514085,0.255,648.495
R08_open,u2_first_b512,crossing_004,crossing,False,,,20.000000000000004,0.8956275389513222,15.105175824054559,0.295,231.82
R08_open,u4_first_b2000000,crossing_004,crossing,False,,,20.000000000000004,1.9013459689143803,2.9870928080253343,0.0,263.31
R08_open,u4_first_b2048,crossing_004,crossing,False,,,20.000000000000004,1.1170511098269917,17.33878884044651,0.19,598.635
R08_open,u4_first_b512,crossing_004,crossing,False,,,20.000000000000004,0.9014648091257784,8.940011708982734,0.29,256.255
R08_open,u2_exhaustive_b2000000,crossing_005,crossing,False,,,20.000000000000004,2.6210550676334554,0.7334022415022448,0.0,999.425
R08_open,u2_exhaustive_b2048,crossing_005,crossing,False,,,20.000000000000004,0.45623516904344674,18.17692323627233,0.235,893.66
R08_open,u2_exhaustive_b512,crossing_005,crossing,False,,,20.000000000000004,0.4254287433621422,16.948252762355615,0.75,443.055
R08_open,u2_first_b2000000,crossing_005,crossing,False,,,20.000000000000004,2.6210550676334554,0.7334022415022448,0.0,596.565
R08_open,u2_first_b2048,crossing_005,crossing,False,,,20.000000000000004,0.45623516904344674,18.17692323627233,0.235,605.48
R08_open,u2_first_b512,crossing_005,crossing,False,,,20.000000000000004,0.4254287433621422,18.441500561324595,0.28,199.885
R08_open,u4_first_b2000000,crossing_005,crossing,False,,,20.000000000000004,2.637124890842194,0.7003172166373925,0.0,378.055
R08_open,u4_first_b2048,crossing_005,crossing,False,,,20.000000000000004,1.0015511562440498,9.184791743058776,0.195,694.7
R08_open,u4_first_b512,crossing_005,crossing,False,,,20.000000000000004,0.4241033694845484,18.96792033858212,0.265,194.88
R08_open,u2_exhaustive_b2000000,crossing_006,crossing,False,,,20.000000000000004,2.80610627961332,1.6930038689957136,0.0,718.745
R08_open,u2_exhaustive_b2048,crossing_006,crossing,True,,,12.5,-0.008471742458705078,11.168549728929644,0.36,1042.176
R08_open,u2_exhaustive_b512,crossing_006,crossing,True,,,10.9,-0.018794847581321217,10.151965125521363,0.6513761467889908,432.0
R08_open,u2_first_b2000000,crossing_006,crossing,False,,,20.000000000000004,2.80610627961332,1.6930038689957136,0.0,281.65
R08_open,u2_first_b2048,crossing_006,crossing,True,,,12.5,-0.008471742458705078,11.168549728929644,0.36,937.224
R08_open,u2_first_b512,crossing_006,crossing,True,,,11.8,-0.003742137058669548,10.565907036762576,0.4576271186440678,287.8474576271187
R08_open,u4_first_b2000000,crossing_006,crossing,False,,,20.000000000000004,2.80610627961332,1.6930038689957136,0.0,202.595
R08_open,u4_first_b2048,crossing_006,crossing,True,,,11.700000000000001,-0.006370130104594196,10.670029169102204,0.29914529914529914,908.0598290598291
R08_open,u4_first_b512,crossing_006,crossing,False,,,20.000000000000004,0.042967149561702334,17.903191296327567,0.255,182.125
R08_open,u2_exhaustive_b2000000,crossing_007,crossing,False,,,20.000000000000004,5.203637609314487,0.862767765939985,0.0,788.37
R08_open,u2_exhaustive_b2048,crossing_007,crossing,False,,,20.000000000000004,1.5168988864634145,5.022682248594478,0.345,1050.64
R08_open,u2_exhaustive_b512,crossing_007,crossing,False,,,20.000000000000004,0.9837135332916491,5.540715903033362,0.88,503.335
R08_open,u2_first_b2000000,crossing_007,crossing,False,,,20.000000000000004,5.203637609314487,0.862767765939985,0.0,329.775
R08_open,u2_first_b2048,crossing_007,crossing,False,,,20.000000000000004,1.5168988864634145,5.022682248594478,0.345,769.15
R08_open,u2_first_b512,crossing_007,crossing,False,,,20.000000000000004,1.5168988864634145,5.022682248594478,0.345,239.23
R08_open,u4_first_b2000000,crossing_007,crossing,False,,,20.000000000000004,5.203637609314487,0.862767765939985,0.0,231.365
R08_open,u4_first_b2048,crossing_007,crossing,False,,,20.000000000000004,1.7486662869359986,4.106403550670611,0.25,603.375
R08_open,u4_first_b512,crossing_007,crossing,False,,,20.000000000000004,1.5168988864634145,5.022682248594478,0.345,239.23
R08_open,u2_exhaustive_b2000000,crossing_008,crossing,False,,,20.000000000000004,3.1152628662113613,1.0197379650619425,0.0,934.78
R08_open,u2_exhaustive_b2048,crossing_008,crossing,False,,,20.000000000000004,0.6947339151224247,16.902482953798298,0.24,891.55
R08_open,u2_exhaustive_b512,crossing_008,crossing,False,,,20.000000000000004,0.6656082713789756,13.259151139378929,0.325,375.96
R08_open,u2_first_b2000000,crossing_008,crossing,False,,,20.000000000000004,3.1152628662113613,1.0197379650619425,0.0,510.43
R08_open,u2_first_b2048,crossing_008,crossing,False,,,20.000000000000004,0.6947339151224247,16.902482953798298,0.24,630.22
R08_open,u2_first_b512,crossing_008,crossing,False,,,20.000000000000004,0.7003651788897477,12.655808742013466,0.31,228.48
R08_open,u4_first_b2000000,crossing_008,crossing,False,,,20.000000000000004,3.1146470068645753,1.0194518203627911,0.0,331.88
R08_open,u4_first_b2048,crossing_008,crossing,False,,,20.000000000000004,0.5535898318073683,14.514455837892884,0.19,589.11
R08_open,u4_first_b512,crossing_008,crossing,False,,,20.000000000000004,0.7202232162835257,13.14154761235695,0.29,208.575
R08_open,u2_exhaustive_b2000000,crossing_009,crossing,False,,,20.000000000000004,2.5041451173753226,1.6026664081065167,0.0,642.255
R08_open,u2_exhaustive_b2048,crossing_009,crossing,True,,,10.1,-0.04393105085623894,9.773448340131857,0.36633663366336633,1061.5544554455446
R08_open,u2_exhaustive_b512,crossing_009,crossing,True,,,9.9,-0.05995502464083269,9.75581502483499,0.6262626262626263,426.37373737373736
R08_open,u2_first_b2000000,crossing_009,crossing,False,,,20.000000000000004,2.5041451173753226,1.6026664081065167,0.0,203.305
R08_open,u2_first_b2048,crossing_009,crossing,True,,,10.1,-0.04393105085623894,9.773448340131857,0.36633663366336633,929.1485148514852
R08_open,u2_first_b512,crossing_009,crossing,True,,,10.1,-0.0012521197222055136,9.825919608964204,0.48514851485148514,290.990099009901
R08_open,u4_first_b2000000,crossing_009,crossing,False,,,20.000000000000004,2.5041451173753226,1.6026664081065167,0.0,160.025
R08_open,u4_first_b2048,crossing_009,crossing,True,,,11.4,-0.009332809213413507,9.719626468003783,0.21929824561403508,714.9473684210526
R08_open,u4_first_b512,crossing_009,crossing,True,,,10.3,-0.04471359004764264,9.89729237327283,0.44660194174757284,275.0485436893204
R08_open,u2_exhaustive_b2000000,crossing_010,crossing,False,,,20.000000000000004,3.18262349424708,-0.3150220093302831,0.0,985.82
R08_open,u2_exhaustive_b2048,crossing_010,crossing,True,,,9.5,-0.005217371489527722,8.55756667786877,0.5052631578947369,1293.8631578947368
R08_open,u2_exhaustive_b512,crossing_010,crossing,True,,,9.1,-0.061199918225997574,8.368788412949177,0.6923076923076923,446.68131868131866
R08_open,u2_first_b2000000,crossing_010,crossing,False,,,20.000000000000004,3.18262349424708,-0.3150220093302831,0.0,549.57
R08_open,u2_first_b2048,crossing_010,crossing,True,,,9.5,-0.005217371489527722,8.55756667786877,0.5052631578947369,1203.842105263158
R08_open,u2_first_b512,crossing_010,crossing,True,,,9.2,-0.06465173762039023,8.441203688531504,0.6195652173913043,354.05434782608694
R08_open,u4_first_b2000000,crossing_010,crossing,False,,,20.000000000000004,3.18262349424708,-0.3150220093302831,0.0,350.92
R08_open,u4_first_b2048,crossing_010,crossing,True,,,10.4,-0.020192733053162493,8.639986680468029,0.36538461538461536,1059.1826923076924
R08_open,u4_first_b512,crossing_010,crossing,True,,,9.1,-0.0035767303720010135,8.355386740585834,0.5934065934065934,348.4945054945055
